"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"748","good",">$300",36,"no previous credits","retraining",8038.8,"<140","5-8 years","25-35","single","male","1-5 years","life insurance",29,"no further running credits","rented","2- 4","skilled employee"
"749","good","no running account",21,"no previous credits","used car",5038.6,"no savings","5-8 years","> 35","divorced/living apart/married","female",">8 years","life insurance",24,"no further running credits","free","one","unskilled with permanant residence"
"750","good","no running account",6,"paid back","other",6602.4,">1400","<1 year","> 35","single","male","5-8 years","no assets",42,"no further running credits","rented","2- 4","unskilled with permanant residence"
"751","bad","no balance",12,"no previous credits","furniture",2077.6,">1400","1-5 years","25-35","married/widowed","male","< 1 year","no assets",23,"no further running credits","rented","one","skilled employee"
"752","bad","no running account",40,"paid back","repair",8397.2,"no savings","1-5 years","< 15","single","male","5-8 years","ownership of house or land",25,"at other banks","rented","one","skilled employee"
"753","bad",">$300",18,"no problems with current credits","used car",2531.2,"no savings","5-8 years","< 15","divorced/living apart/married","female","< 1 year","no assets",20,"no further running credits","rented","one","skilled employee"
"754","good",">$300",12,"no previous credits","other",1541.4,"no savings","1-5 years","15- 25","married/widowed","male","1-5 years","no assets",25,"no further running credits","rented","2- 4","skilled employee"
"755","bad",">$300",9,"no previous credits","furniture",2069.2,"no savings","5-8 years","< 15","single","male","1-5 years","life insurance",20,"no further running credits","rented","one","skilled employee"
"756","bad","no running account",12,"no previous credits","other",1719.2,"no savings","1-5 years","< 15","divorced/living apart/married","female","1-5 years","no assets",22,"no further running credits","rented","one","unskilled with permanant residence"
"757","good","no balance",18,"no previous credits","furniture",1558.2,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","no assets",24,"no further running credits","rented","one","unskilled with permanant residence"
"758","bad","no running account",36,"no previous credits","other",2578.8,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","life insurance",32,"no further running credits","rented","one","skilled employee"
"759","good",">$300",10,"no previous credits","vacation",1251.6,">1400","5-8 years","< 15","divorced/living apart/married","female","5-8 years","car",38,"no further running credits","rented","one","skilled employee"
"760","bad","no balance",12,"no previous credits","furniture",1863.4,"no savings","<1 year","25-35","single","male","< 1 year","life insurance",20,"no further running credits","rented","one","skilled employee"
"761","good",">$300",24,"paid back","furniture",3655.4,"no savings","> 8 years","< 15","married/widowed","male","5-8 years","no assets",44,"no further running credits","rented","2- 4","skilled employee"
"762","good",">$300",18,"no previous credits","other",2548,"no savings","1-5 years","25-35","married/widowed","male","1-5 years","car",28,"no further running credits","rented","one","executive/self-employed"
"763","good","no running account",13,"paid back","retraining",2515.8,"no savings","<1 year","15- 25","single","male","< 1 year","car",26,"at other banks","rented","2- 4","unskilled with permanant residence"
"764","bad","no running account",14,"no previous credits","other",12569.2,"no savings","> 8 years","> 35","divorced/living apart","male",">8 years","car",43,"no further running credits","rented","one","executive/self-employed"
"765","good","no balance",18,"no previous credits","used car",4201.4,"no savings","5-8 years","25-35","divorced/living apart/married","female",">8 years","no assets",38,"no further running credits","free","one","skilled employee"
"766","good",">$300",12,"paid back","furniture",1807.4,"no savings","1-5 years","< 15","divorced/living apart/married","female","1-5 years","car",33,"no further running credits","rented","2- 4","skilled employee"
"767","good",">$300",24,"paid back","new car",5658.8,">1400","5-8 years","15- 25","single","male",">8 years","car",41,"no further running credits","rented","2- 4","skilled employee"
"768","good","no running account",6,"no previous credits","furniture",3705.8,"140-700","1-5 years","25-35","single","male","5-8 years","no assets",42,"no further running credits","free","one","skilled employee"
"769","good",">$300",11,"paid back","other",10119.2,"no savings","1-5 years","> 35","single","male",">8 years","car",37,"no further running credits","rented","2- 4","unskilled with permanant residence"
"770","good","no balance",36,"no previous credits","furniture",3252.2,"no savings","5-8 years","< 15","single","male",">8 years","life insurance",22,"no further running credits","free","one","skilled employee"
"771","good",">$300",6,"no previous credits","other",4925.2,"no savings","1-5 years","25-35","single","male","5-8 years","car",24,"no further running credits","free","one","skilled employee"
"772","good",">$300",12,"paid back","used car",8121.4,">1400","> 8 years","25-35","single","male",">8 years","car",47,"no further running credits","free","one","skilled employee"
"773","bad","no running account",48,"hesistant","new car",6447,"no savings","> 8 years","15- 25","single","male",">8 years","ownership of house or land",22,"no further running credits","owned","2- 4","skilled employee"
"774","good","<= $300",24,"no previous credits","furniture",1761.2,"140-700","1-5 years","15- 25","divorced/living apart/married","female","5-8 years","life insurance",55,"no further running credits","rented","one","unskilled with permanant residence"
"775","good",">$300",6,"no previous credits","furniture",725.2,"no savings","1-5 years","15- 25","divorced/living apart/married","female","< 1 year","no assets",27,"no further running credits","rented","one","skilled employee"
"776","good",">$300",24,"paid back","other",2830.8,"no savings","1-5 years","< 15","divorced/living apart/married","female",">8 years","life insurance",35,"no further running credits","rented","one","skilled employee"
"777","bad","no balance",36,"paid back","other",3948,"no savings","<1 year","< 15","divorced/living apart","male",">8 years","life insurance",25,"no further running credits","rented","2- 4","skilled employee"
"778","good","no running account",47,"no previous credits","other",15010.8,"no savings","<1 year","> 35","divorced/living apart/married","female","< 1 year","no assets",33,"no further running credits","rented","one","unskilled with permanant residence"
"779","good",">$300",12,"no previous credits","retraining",2158.8,"no savings","5-8 years","25-35","single","male",">8 years","life insurance",34,"no further running credits","rented","one","skilled employee"
"780","good",">$300",18,"no previous credits","furniture",1576.4,">1400","<1 year","< 15","divorced/living apart/married","female","1-5 years","no assets",19,"no further running credits","free","one","skilled employee"
"781","good","no running account",24,"no previous credits","furniture",2244.2,"no savings","> 8 years","< 15","divorced/living apart/married","female",">8 years","life insurance",53,"no further running credits","rented","one","skilled employee"
"782","good","no running account",12,"no previous credits","furniture",2097.2,"no savings","1-5 years","< 15","divorced/living apart/married","female","< 1 year","life insurance",21,"at other banks","rented","one","skilled employee"
"783","good","no balance",15,"no previous credits","furniture",2021.6,">1400","<1 year","< 15","single","male","< 1 year","car",21,"no further running credits","rented","one","skilled employee"
"784","bad","no running account",30,"no previous credits","household appliances",16797.2,"no savings","<1 year","> 35","divorced/living apart","male","< 1 year","ownership of house or land",32,"at other banks","rented","one","unskilled with permanant residence"
"785","bad","no running account",6,"no previous credits","repair",627.2,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","car",21,"no further running credits","rented","one","skilled employee"
"786","good","no balance",6,"no problems with current credits","used car",1470,"no savings","unemployed","< 15","single","male","< 1 year","car",33,"at department store","rented","2- 4","executive/self-employed"
"787","good","no balance",30,"no previous credits","furniture",2401,">1400","1-5 years","< 15","divorced/living apart/married","female","< 1 year","life insurance",24,"no further running credits","rented","one","skilled employee"
"788","bad","no running account",36,"no previous credits","furniture",3222.8,"no savings","1-5 years","< 15","divorced/living apart","male",">8 years","life insurance",29,"no further running credits","free","one","skilled employee"
"789","good",">$300",30,"paid back","furniture",8079.4,"no savings","5-8 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",23,"no further running credits","rented","2- 4","skilled employee"
"790","bad","no running account",12,"no previous credits","used car",1794.8,"no savings","1-5 years","25-35","divorced/living apart/married","female",">8 years","life insurance",18,"no further running credits","free","one","skilled employee"
"791","good",">$300",12,"no previous credits","furniture",4307.8,"no savings","1-5 years","25-35","single","male",">8 years","life insurance",50,"no further running credits","rented","one","skilled employee"
"792","good",">$300",12,"paid back","furniture",1302,">1400","> 8 years","< 15","single","male",">8 years","no assets",63,"no further running credits","rented","7 or more","skilled employee"
"793","good","no balance",48,"hesistant","other",11701.2,"140-700","<1 year","> 35","divorced/living apart/married","female","< 1 year","life insurance",28,"no further running credits","rented","2- 4","skilled employee"
"794","good","no balance",12,"paid back","other",4373.6,"no savings","<1 year","> 35","single","male","5-8 years","no assets",47,"at other banks","rented","2- 4","unskilled with permanant residence"
"795","good",">$300",36,"paid back","other",4949,"no savings","5-8 years","< 15","single","male",">8 years","life insurance",35,"no further running credits","rented","2- 4","skilled employee"
"796","good","no balance",12,"paid back","other",2793,"<140","<1 year","< 15","single","male","< 1 year","life insurance",25,"no further running credits","rented","one","skilled employee"
"797","good","<= $300",6,"paid back","other",1852.2,"<140","> 8 years","25-35","divorced/living apart","male",">8 years","life insurance",26,"no further running credits","rented","2- 4","skilled employee"
"798","good","no balance",8,"no previous credits","furniture",1064,"no savings","5-8 years","< 15","divorced/living apart/married","female","1-5 years","no assets",42,"no further running credits","rented","one","unskilled with permanant residence"
"799","bad","no balance",18,"hesistant","other",3189.2,"<140","<1 year","15- 25","divorced/living apart/married","female","5-8 years","life insurance",26,"no further running credits","rented","2- 4","skilled employee"
"800","bad","no running account",60,"no problems with current credits","retraining",9570.4,"no savings","> 8 years","15- 25","single","male",">8 years","ownership of house or land",61,"no further running credits","rented","2- 4","skilled employee"
"801","bad","no balance",9,"paid back","repair",2101.4,"no savings","> 8 years","25-35","divorced/living apart/married","female","5-8 years","life insurance",32,"no further running credits","rented","2- 4","executive/self-employed"
"802","good","no balance",8,"no previous credits","retraining",1269.8,"no savings","<1 year","15- 25","married/widowed","male","1-5 years","no assets",24,"no further running credits","rented","one","skilled employee"
"803","good",">$300",12,"no previous credits","used car",2430.4,"no savings","5-8 years","15- 25","divorced/living apart/married","female",">8 years","no assets",29,"no further running credits","rented","one","unskilled with permanant residence"
"804","bad","no running account",15,"no previous credits","television",1785,">1400","1-5 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",22,"no further running credits","free","one","skilled employee"
"805","good","no running account",36,"paid back","used car",7519.4,"no savings","1-5 years","15- 25","single","male","1-5 years","car",26,"no further running credits","rented","2- 4","skilled employee"
"806","good",">$300",24,"paid back","other",3448.2,"<140","5-8 years","< 15","married/widowed","male","5-8 years","car",25,"no further running credits","rented","2- 4","skilled employee"
"807","good","no balance",20,"hesistant","new car",8607.2,"<140","> 8 years","15- 25","married/widowed","male",">8 years","life insurance",29,"at other banks","rented","2- 4","skilled employee"
"808","bad",">$300",18,"paid back","other",2142,"no savings","1-5 years","15- 25","single","male","1-5 years","car",30,"at other banks","rented","2- 4","skilled employee"
"809","good",">$300",7,"no problems with current credits","furniture",1184.4,">1400","> 8 years","15- 25","single","male",">8 years","ownership of house or land",34,"no further running credits","owned","one","skilled employee"
"810","bad","no running account",24,"paid back","other",1678.6,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",58,"no further running credits","rented","2- 4","unskilled with permanant residence"
"811","good",">$300",9,"no previous credits","repair",5364.8,">1400","> 8 years","> 35","single","male",">8 years","no assets",62,"no further running credits","rented","one","unskilled with permanant residence"
"812","good","no running account",15,"no previous credits","other",2409.4,"no savings","<1 year","25-35","single","male","5-8 years","no assets",34,"no further running credits","rented","one","skilled employee"
"813","bad","no balance",36,"no previous credits","used car",12647.6,"<140","<1 year","< 15","single","male","< 1 year","ownership of house or land",27,"no further running credits","free","one","executive/self-employed"
"814","good",">$300",24,"problematic running accounts","retraining",2182.6,"no savings","5-8 years","< 15","single","male",">8 years","life insurance",38,"at other banks","rented","one","skilled employee"
"815","good","no balance",24,"no previous credits","used car",4296.6,"<140","> 8 years","< 15","single","male",">8 years","ownership of house or land",28,"no further running credits","owned","one","skilled employee"
"816","good",">$300",24,"no previous credits","other",3157,">1400","<1 year","< 15","single","male","< 1 year","car",52,"no further running credits","rented","one","skilled employee"
"817","good","no running account",24,"no previous credits","new car",4074,"no savings","5-8 years","25-35","single","male","< 1 year","ownership of house or land",32,"no further running credits","owned","one","executive/self-employed"
"818","bad",">$300",24,"no previous credits","retraining",6427.4,"700-1400","1-5 years","25-35","single","male","5-8 years","car",52,"no further running credits","rented","5- 6","executive/self-employed"
"819","bad","<= $300",15,"paid back","furniture",1779.4,">1400","1-5 years","15- 25","single","male",">8 years","ownership of house or land",37,"no further running credits","owned","2- 4","skilled employee"
"820","good",">$300",21,"no problems with current credits","used car",2227.4,"<140","5-8 years","< 15","single","male","5-8 years","no assets",32,"no further running credits","rented","2- 4","executive/self-employed"
"821","good",">$300",15,"paid back","repair",2144.8,"<140","1-5 years","< 15","divorced/living apart/married","female","5-8 years","life insurance",29,"no further running credits","rented","one","skilled employee"
"822","good",">$300",24,"paid back","new car",3075.8,">1400","5-8 years","< 15","single","male",">8 years","life insurance",41,"no further running credits","rented","2- 4","skilled employee"
"823","bad",">$300",21,"no problems with current credits","retraining",3612,"140-700","<1 year","< 15","single","male","1-5 years","no assets",39,"at other banks","rented","one","unskilled with permanant residence"
"824","bad","no running account",12,"paid back","other",4898.6,"no savings","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","no assets",27,"no further running credits","rented","2- 4","skilled employee"
"825","bad",">$300",12,"no previous credits","other",1940.4,"140-700","1-5 years","25-35","divorced/living apart/married","female","1-5 years","car",24,"no further running credits","rented","one","skilled employee"
"826","good",">$300",15,"paid back","furniture",2560.6,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",44,"no further running credits","rented","2- 4","skilled employee"
"827","good",">$300",36,"no previous credits","furniture",3351.6,">1400","1-5 years","< 15","divorced/living apart/married","female",">8 years","life insurance",23,"no further running credits","rented","one","skilled employee"
"828","good","no balance",12,"no problems with current credits","furniture",819,"no savings","1-5 years","< 15","married/widowed","male",">8 years","no assets",18,"no further running credits","free","2- 4","skilled employee"
"829","good",">$300",24,"no problems with current credits","other",2844.8,"no savings","> 8 years","< 15","single","male",">8 years","ownership of house or land",58,"no further running credits","owned","2- 4","skilled employee"
"830","good","<= $300",21,"no previous credits","other",4092.2,"<140","1-5 years","> 35","divorced/living apart/married","female","< 1 year","life insurance",26,"at other banks","rented","one","executive/self-employed"
"831","good","no balance",18,"no previous credits","retraining",6214.6,"no savings","> 8 years","> 35","single","male","< 1 year","no assets",31,"at other banks","rented","one","executive/self-employed"
"832","good",">$300",6,"no previous credits","other",940.8,"no savings","unemployed","> 35","divorced/living apart/married","female",">8 years","no assets",52,"no further running credits","rented","one","unskilled with no permanant residence"
"833","bad","no balance",18,"no previous credits","used car",2693.6,">1400","<1 year","< 15","divorced/living apart/married","female","5-8 years","no assets",25,"no further running credits","free","one","skilled employee"
"834","bad","<= $300",24,"no previous credits","other",1325.8,"no savings","5-8 years","< 15","single","male","5-8 years","ownership of house or land",36,"at other banks","owned","one","skilled employee"
"835","good",">$300",6,"problematic running accounts","other",1096.2,">1400","1-5 years","> 35","single","male","1-5 years","no assets",24,"at department store","rented","one","unskilled with permanant residence"
"836","bad",">$300",36,"no problems with current credits","furniture",6248.2,"no savings","1-5 years","< 15","single","male","1-5 years","life insurance",24,"no further running credits","rented","2- 4","executive/self-employed"
"837","good",">$300",24,"no problems with current credits","used car",5811.4,"<140","1-5 years","25-35","single","male","5-8 years","car",33,"no further running credits","rented","2- 4","skilled employee"
"838","bad","no running account",36,"paid back","repair",11291,"no savings","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","ownership of house or land",23,"no further running credits","rented","2- 4","executive/self-employed"
"839","good","no running account",30,"no previous credits","furniture",3530.8,"no savings","> 8 years","> 35","single","male","5-8 years","car",37,"no further running credits","rented","one","skilled employee"
"840","good","no balance",12,"no previous credits","other",8509.2,"no savings","5-8 years","25-35","single","male","1-5 years","life insurance",30,"no further running credits","rented","one","skilled employee"
"841","good","no balance",20,"no problems with current credits","new car",9879.8,">1400","5-8 years","15- 25","single","male",">8 years","car",34,"at other banks","free","2- 4","executive/self-employed"
"842","bad","no running account",24,"no previous credits","other",1689.8,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","car",22,"no further running credits","free","one","skilled employee"
"843","good","no running account",12,"no previous credits","furniture",3099.6,"no savings","1-5 years","< 15","single","male","5-8 years","car",22,"no further running credits","rented","one","unskilled with permanant residence"
"844","good","no running account",24,"problematic running accounts","new car",5084.8,"no savings","1-5 years","> 35","divorced/living apart/married","female",">8 years","life insurance",20,"at other banks","free","one","skilled employee"
"845","good","<= $300",36,"no previous credits","furniture",5486.6,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",21,"no further running credits","rented","one","skilled employee"
"846","good",">$300",36,"no previous credits","furniture",3218.6,"140-700","> 8 years","< 15","single","male",">8 years","life insurance",37,"no further running credits","rented","one","skilled employee"
"847","good",">$300",30,"paid back","furniture",4307.8,">1400","> 8 years","15- 25","single","male","1-5 years","life insurance",38,"no further running credits","rented","2- 4","skilled employee"
"848","bad","no running account",12,"no previous credits","repair",957.6,"no savings","1-5 years","< 15","single","male",">8 years","life insurance",38,"no further running credits","free","one","unskilled with permanant residence"
"849","good",">$300",24,"no previous credits","used car",4286.8,"140-700","> 8 years","< 15","single","male","5-8 years","ownership of house or land",30,"no further running credits","free","one","skilled employee"
"850","bad","no balance",48,"no previous credits","furniture",4284,"no savings","5-8 years","< 15","single","male",">8 years","no assets",26,"no further running credits","rented","2- 4","skilled employee"
"851","good","no running account",6,"paid back","furniture",2739.8,"no savings","5-8 years","> 35","divorced/living apart/married","female",">8 years","life insurance",29,"no further running credits","rented","one","skilled employee"
"852","bad","<= $300",9,"no previous credits","furniture",1043,"no savings","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","no assets",26,"no further running credits","rented","one","unskilled with permanant residence"
"853","good",">$300",21,"no previous credits","new car",3466.4,">1400","> 8 years","< 15","single","male",">8 years","no assets",44,"no further running credits","rented","one","executive/self-employed"
"854","good","<= $300",24,"paid back","retraining",1785,"700-1400","1-5 years","25-35","divorced/living apart","male",">8 years","no assets",34,"no further running credits","rented","2- 4","skilled employee"
"855","good",">$300",24,"no problems with current credits","new car",6550.6,"no savings","5-8 years","15- 25","single","male","5-8 years","life insurance",33,"no further running credits","rented","2- 4","unskilled with permanant residence"
"856","good","no balance",13,"paid back","furniture",1234.8,"no savings","<1 year","< 15","single","male",">8 years","no assets",21,"no further running credits","rented","2- 4","skilled employee"
"857","good",">$300",12,"paid back","repair",3847.2,"no savings","> 8 years","25-35","divorced/living apart/married","female",">8 years","ownership of house or land",55,"at other banks","owned","5- 6","unskilled with permanant residence"
"858","bad","no running account",18,"no previous credits","other",1366.4,"no savings","<1 year","> 35","divorced/living apart/married","female","1-5 years","life insurance",21,"no further running credits","rented","one","unskilled with permanant residence"
"859","good","no balance",27,"no previous credits","retraining",3539.2,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","car",30,"no further running credits","rented","one","skilled employee"
"860","good",">$300",6,"paid back","other",2912,"140-700","1-5 years","> 35","married/widowed","male","1-5 years","life insurance",22,"no further running credits","rented","one","skilled employee"
"861","bad","no balance",12,"no previous credits","other",1813,"no savings","<1 year","15- 25","divorced/living apart/married","female","< 1 year","life insurance",23,"no further running credits","free","one","skilled employee"
"862","bad","no running account",18,"paid back","other",5552.4,"no savings","> 8 years","> 35","divorced/living apart/married","female",">8 years","no assets",31,"at other banks","free","5- 6","skilled employee"
"863","bad",">$300",24,"no previous credits","furniture",3355.8,"140-700","> 8 years","15- 25","single","male","1-5 years","life insurance",33,"at other banks","rented","2- 4","skilled employee"
"864","good","<= $300",6,"no previous credits","used car",2962.4,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",39,"no further running credits","rented","one","skilled employee"
"865","good",">$300",18,"paid back","new car",4520.6,">1400","unemployed","25-35","single","male",">8 years","ownership of house or land",36,"no further running credits","rented","one","executive/self-employed"
"866","bad",">$300",18,"paid back","repair",2609.6,"<140","1-5 years","< 15","divorced/living apart/married","female","1-5 years","no assets",28,"no further running credits","rented","2- 4","skilled employee"
"867","good",">$300",20,"paid back","other",4879,">1400","<1 year","25-35","divorced/living apart","male",">8 years","no assets",42,"no further running credits","rented","2- 4","skilled employee"
"868","bad","no balance",18,"paid back","other",1237.6,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",34,"no further running credits","rented","one","skilled employee"
"869","good","no balance",24,"paid back","repair",8040.2,"no savings","<1 year","25-35","divorced/living apart/married","female",">8 years","ownership of house or land",22,"no further running credits","owned","2- 4","skilled employee"
"870","good",">$300",24,"no previous credits","furniture",1926.4,"140-700","5-8 years","< 15","divorced/living apart/married","female","< 1 year","life insurance",26,"no further running credits","rented","one","skilled employee"
"871","good","<= $300",12,"no previous credits","used car",2063.6,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","car",31,"at other banks","rented","one","executive/self-employed"
"872","bad",">$300",24,"no problems with current credits","retraining",12107.2,"no savings","<1 year","25-35","single","male","1-5 years","life insurance",25,"at other banks","rented","2- 4","skilled employee"
"873","good",">$300",24,"paid back","other",1801.8,"700-1400","> 8 years","< 15","divorced/living apart/married","female",">8 years","no assets",35,"no further running credits","rented","2- 4","skilled employee"
"874","bad","no balance",12,"hesistant","used car",4156.6,"no savings","<1 year","< 15","divorced/living apart/married","female","5-8 years","car",23,"no further running credits","free","2- 4","skilled employee"
"875","good",">$300",12,"no previous credits","retraining",1506.4,"no savings","1-5 years","25-35","married/widowed","male","1-5 years","no assets",24,"no further running credits","rented","one","skilled employee"
"876","good",">$300",24,"no previous credits","used car",1300.6,">1400","5-8 years","< 15","single","male","1-5 years","life insurance",29,"at department store","rented","one","skilled employee"
"877","good","no balance",11,"paid back","other",1850.8,"700-1400","1-5 years","< 15","divorced/living apart/married","female",">8 years","life insurance",38,"no further running credits","rented","2- 4","skilled employee"
"878","good","no running account",24,"no previous credits","used car",4229.4,"no savings","1-5 years","25-35","divorced/living apart","male","1-5 years","no assets",22,"no further running credits","free","one","unskilled with permanant residence"
"879","bad","no balance",60,"no previous credits","other",10371.2,"<140","<1 year","< 15","divorced/living apart/married","female","1-5 years","car",22,"no further running credits","rented","one","executive/self-employed"
"880","good",">$300",39,"no previous credits","new car",3596.6,"140-700","1-5 years","< 15","single","male",">8 years","life insurance",22,"no further running credits","rented","one","skilled employee"
"881","good","no balance",30,"paid back","other",3053.4,">1400","> 8 years","< 15","single","male",">8 years","no assets",34,"no further running credits","rented","2- 4","skilled employee"
"882","bad","no balance",12,"no previous credits","used car",3866.8,">1400","> 8 years","> 35","divorced/living apart/married","female","1-5 years","car",23,"no further running credits","rented","one","skilled employee"
"883","bad","no running account",45,"no previous credits","furniture",2583,"no savings","1-5 years","< 15","single","male",">8 years","ownership of house or land",21,"no further running credits","owned","one","skilled employee"
"884","good","no balance",24,"no previous credits","furniture",2753.8,"no savings","> 8 years","< 15","divorced/living apart/married","female",">8 years","life insurance",18,"no further running credits","rented","one","skilled employee"
"885","good","<= $300",24,"paid back","used car",5063.8,">1400","> 8 years","< 15","single","male",">8 years","ownership of house or land",18,"no further running credits","free","2- 4","skilled employee"
"886","good",">$300",12,"paid back","retraining",1659,"no savings","1-5 years","15- 25","divorced/living apart/married","female","1-5 years","no assets",25,"no further running credits","rented","2- 4","skilled employee"
"887","good",">$300",18,"paid back","other",1477,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","car",28,"no further running credits","rented","2- 4","skilled employee"
"888","good","no running account",15,"no previous credits","used car",2583,"no savings","<1 year","< 15","divorced/living apart/married","female","< 1 year","car",44,"no further running credits","free","one","skilled employee"
"889","bad","no running account",12,"hesistant","household appliances",1551.2,"no savings","5-8 years","< 15","single","male","5-8 years","no assets",26,"no further running credits","rented","2- 4","skilled employee"
"890","bad","no running account",15,"hesistant","other",1330,"no savings","> 8 years","< 15","single","male","5-8 years","life insurance",31,"no further running credits","free","2- 4","skilled employee"
"891","bad","no balance",45,"no previous credits","furniture",4243.4,"<140","1-5 years","< 15","single","male",">8 years","car",19,"no further running credits","free","one","skilled employee"
"892","good","no balance",9,"paid back","used car",2686.6,"no savings","5-8 years","< 15","single","male","5-8 years","life insurance",33,"no further running credits","free","one","skilled employee"
"893","good","no balance",21,"no previous credits","used car",5566.4,">1400","5-8 years","25-35","single","male","5-8 years","life insurance",33,"no further running credits","rented","one","skilled employee"
"894","good",">$300",12,"no previous credits","furniture",1125.6,"no savings","> 8 years","< 15","single","male",">8 years","life insurance",36,"no further running credits","rented","one","skilled employee"
"895","bad","no running account",24,"no previous credits","furniture",2781.8,"no savings","1-5 years","25-35","single","male",">8 years","no assets",19,"no further running credits","free","one","unskilled with permanant residence"
"896","bad","no balance",36,"no previous credits","household appliances",3337.6,"no savings","<1 year","< 15","single","male","< 1 year","ownership of house or land",31,"no further running credits","free","one","unskilled with permanant residence"
"897","good",">$300",18,"no previous credits","used car",4790.8,"no savings","> 8 years","< 15","single","male",">8 years","car",45,"at other banks","rented","5- 6","skilled employee"
"898","good","<= $300",12,"no problems with current credits","other",3145.8,"no savings","1-5 years","25-35","divorced/living apart/married","female","1-5 years","life insurance",34,"at department store","rented","2- 4","skilled employee"
"899","bad","no running account",24,"no problems with current credits","other",6818,"no savings","1-5 years","15- 25","single","male",">8 years","ownership of house or land",51,"no further running credits","owned","2- 4","skilled employee"
"900","good","<= $300",6,"paid back","repair",1465.8,"no savings","1-5 years","25-35","divorced/living apart/married","female",">8 years","car",48,"no further running credits","rented","one","unskilled with permanant residence"
"901","good","no running account",36,"no previous credits","business",22199.8,"no savings","unemployed","25-35","divorced/living apart","male","5-8 years","life insurance",41,"no further running credits","rented","one","executive/self-employed"
"902","bad","no running account",9,"no previous credits","other",1990.8,"no savings","<1 year","15- 25","single","male","1-5 years","ownership of house or land",25,"no further running credits","owned","one","executive/self-employed"
"903","good",">$300",15,"no previous credits","furniture",2770.6,">1400","> 8 years","< 15","single","male","1-5 years","life insurance",33,"no further running credits","rented","one","skilled employee"
"904","good",">$300",30,"paid back","furniture",9438.8,">1400","5-8 years","25-35","single","male","5-8 years","car",34,"no further running credits","rented","2- 4","skilled employee"
"905","good",">$300",15,"no previous credits","furniture",4995.2,"no savings","> 8 years","< 15","divorced/living apart/married","female","1-5 years","life insurance",52,"at other banks","free","one","executive/self-employed"
"906","bad","no balance",24,"paid back","furniture",1702.4,"<140","<1 year","< 15","single","male",">8 years","ownership of house or land",36,"at other banks","rented","2- 4","skilled employee"
"907","bad","no balance",30,"no previous credits","used car",4817.4,"<140","1-5 years","25-35","divorced/living apart/married","female",">8 years","life insurance",19,"at other banks","free","one","skilled employee"
"908","good","no balance",18,"no previous credits","other",8764,"no savings","5-8 years","15- 25","single","male","5-8 years","no assets",26,"no further running credits","free","one","unskilled with permanant residence"
"909","good","<= $300",6,"paid back","other",1818.6,"no savings","1-5 years","> 35","single","male","< 1 year","no assets",72,"no further running credits","rented","5- 6","unskilled with no permanant residence"
"910","good",">$300",24,"paid back","other",2716,"700-1400","> 8 years","< 15","single","male",">8 years","no assets",58,"no further running credits","rented","one","skilled employee"
"911","good","no balance",21,"paid back","used car",3843,"700-1400","5-8 years","15- 25","single","male","1-5 years","life insurance",30,"no further running credits","rented","2- 4","skilled employee"
"912","good",">$300",60,"no previous credits","furniture",14201.6,"<140","5-8 years","25-35","divorced/living apart/married","female",">8 years","no assets",19,"no further running credits","rented","one","skilled employee"
"913","good",">$300",24,"no previous credits","furniture",4453.4,"no savings","<1 year","< 15","divorced/living apart/married","female",">8 years","car",24,"no further running credits","rented","one","skilled employee"
"914","good",">$300",24,"no previous credits","furniture",1398.6,">1400","> 8 years","< 15","single","male","1-5 years","life insurance",23,"no further running credits","rented","2- 4","skilled employee"
"915","good",">$300",6,"hesistant","other",1685.6,"<140","1-5 years","< 15","single","male","< 1 year","ownership of house or land",33,"at other banks","free","one","skilled employee"
"916","good","<= $300",15,"no previous credits","retraining",3761.8,"no savings","5-8 years","25-35","single","male",">8 years","car",24,"no further running credits","free","one","skilled employee"
"917","good","no running account",10,"paid back","other",3137.4,"no savings","<1 year","> 35","single","male","5-8 years","no assets",46,"no further running credits","free","2- 4","unskilled with permanant residence"
"918","good",">$300",15,"no problems with current credits","used car",1344,"700-1400","5-8 years","15- 25","divorced/living apart/married","female","1-5 years","car",28,"no further running credits","rented","2- 4","skilled employee"
